ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
446,Ntra. Sra. del Rosario,"C/ Cruz Marbella, s/n",14880,2
447,San Francisco Solano,"C/ Arcipreste Fernández Casado, 3",14550,3
448,San José,"Ronda de Curtidores, 8",14550,1
449,Gran Capitán,"Avda. de la Constitución, s/n",14550,2
450,San Luis y San Ildefonso,"C/ San Luis, 12",14550,3
451,Inca Garcilaso,"Avda. de la Constitución, 14",14550,1
452,Ntra. Sra. del Rosario,"C/ Poeta Manuel Terrín Benavides, s/n.Vaguada de La Paloma",14600,2
453,Santos Isasa,"Plaza Plano de la feria, s/n",14600,3
454,San Luis Rey,"Avda. María Auxiliadora, 2",14700,1
455,San Sebastián,"Ronda del Jardín, s/n",14700,2
456,Inmaculada Concepción,"C/ Madre Carmen, 2",14700,3
457,Antonio Gala,"Avda. de la Paz, s/n",14700,1
458,Alfredo Gil,"Avda. Vista Alegre, s/n",14200,2
459,San José de Calasanz,"Ronda de la Paz, 7",14200,3
460,Alto Guadiato,"Ronda del Guadiato, s/n",14200,1
461,Ntra. Sra. de la Salud,"Plaza Virgen de la Salud, s/n",14730,2
462,Aljanadic,"C/ Almodóvar del Río, s/n",14730,3
463,Ginés de Sepúlveda,"C/ Llanos, s/n",14400,1
464,San José,"Plaza Padres Salesianos, 7",14400,2
465,La Inmaculada,"Plaza de la Iglesia, 6",14400,3
466,Los Pedroches,"C/ Marcos Redondo, s/n",14400,1
467,Niceto Alcalá-Zamora y Torres,"C/ Albaicín, 3",14800,2
468,Camacho Melendo,"C/ Ramón y Cajal, 49",14800,3
469,Cristóbal Luque Onieva,"C/ Haza Luna, s/n",14800,1
470,Sierra de Aras,"C/ María Zambrano, s/n",14900,2
471,Nuestra Señora de las Angustias,"C/ Río, 2",14800,3
472,San José,"C/ Cava, 12",14800,1
473,Fernando III El Santo,"Avda. de España, 83",14800,2
474,Álvarez Cubero,"Avda. Niceto Alcalá-Zamora, s/n",14800,3
475,Ángel Carrillo,"Avda. D.Niceto Alacalá- Zamora , s/n",14800,1
476,José María Pemán,"C/ José María Pemán, s/n",14500,2
477,Miragenil,"C/ Herrera, 13",14500,3
478,Compañía de María,"C/ Susana Benítez, 5-7",14500,1
479,Manuel Reina,"C/ Cristóbal del Castillo, 2",14500,2
480,Profesor Tierno Galván,"C/ Calvario, s/n",14540,3
481,Alfar,"C/ Los Prietos, 50",14540,1
